sample_index,received_timestamp_sec,source_timestamp_sec,Fx,Fy,Fz,user_number,object_diameter_mm,task_performed,trial_number,sensor_number,finger_name,topic,raw_msg_length
,,1781121314.948489666,0.902130838,0.096555284,-0.571469418,,,,,,,,
,,1781121314.965230703,0.871517704,0.057187068,-0.567843758,,,,,,,,
,,1781121314.981701612,0.870293418,0.028636770,-0.593639721,,,,,,,,
,,1781121314.998549700,0.885306111,-0.014064536,-0.631717191,,,,,,,,
,,1781121315.015080214,0.871945650,-0.066642291,-0.646408685,,,,,,,,
,,1781121315.031703711,0.837255379,-0.110521658,-0.642638004,,,,,,,,
,,1781121315.048500299,0.800554782,-0.160284604,-0.645980007,,,,,,,,
,,1781121315.065071106,0.793082716,-0.205642767,-0.667613847,,,,,,,,
,,1781121315.081746340,0.770854075,-0.248319201,-0.674536584,,,,,,,,
,,1781121315.098572493,0.747852672,-0.301871822,-0.664392756,,,,,,,,
,,1781121315.115174055,0.735470603,-0.350570338,-0.616078333,,,,,,,,
,,1781121315.131667137,0.739809068,-0.353091857,-0.556305168,,,,,,,,
,,1781121315.148267508,0.720601459,-0.341135525,-0.494142724,,,,,,,,
,,1781121315.165133715,0.692377752,-0.333266661,-0.463434821,,,,,,,,
,,1781121315.181744814,0.682056393,-0.320878830,-0.427539092,,,,,,,,
,,1781121315.198418379,0.631782314,-0.328230347,-0.382349240,,,,,,,,
,,1781121315.215035200,0.542584284,-0.333455633,-0.337243759,,,,,,,,
,,1781121315.231760025,0.479807967,-0.374561418,-0.305591378,,,,,,,,
,,1781121315.248414993,0.376384879,-0.397464335,-0.243167041,,,,,,,,
,,1781121315.265033245,0.336513646,-0.343761788,-0.216022473,,,,,,,,
,,1781121315.281676292,0.300784819,-0.333177811,-0.204847015,,,,,,,,
,,1781121315.298430920,0.325706520,-0.312686471,-0.189514721,,,,,,,,
,,1781121315.315118551,0.357299339,-0.330179115,-0.163399449,,,,,,,,
,,1781121315.331937551,0.315027509,-0.349170984,-0.114125992,,,,,,,,
,,1781121315.348493338,0.275235086,-0.397615793,-0.144155873,,,,,,,,
,,1781121315.365302801,0.223179775,-0.426357505,-0.076759885,,,,,,,,
,,1781121315.381716013,0.228024715,-0.384184544,-0.065256832,,,,,,,,
,,1781121315.398328543,0.233977809,-0.372045026,-0.066938843,,,,,,,,
,,1781121315.415346861,0.261543253,-0.362693757,-0.055287786,,,,,,,,
,,1781121315.431847095,0.249587342,-0.353540898,-0.040790933,,,,,,,,
,,1781121315.448554277,0.229554446,-0.337471751,-0.040629738,,,,,,,,
,,1781121315.465346098,0.207260521,-0.316502194,-0.036437277,,,,,,,,
,,1781121315.488048792,0.190868772,-0.317135460,-0.021664005,,,,,,,,
,,1781121315.498455286,0.152361360,-0.317634889,0.011957443,,,,,,,,
,,1781121315.514968157,0.105002769,-0.307483916,0.050060694,,,,,,,,
,,1781121315.531703949,0.089215075,-0.259229734,0.074426417,,,,,,,,
,,1781121315.548393965,0.081291355,-0.249439232,0.074527579,,,,,,,,
,,1781121315.564950228,0.022841550,-0.225454636,0.083958419,,,,,,,,
,,1781121315.581823587,0.020969335,-0.214086520,-0.001853267,,,,,,,,
,,1781121315.598365784,-0.007505979,-0.225948948,0.035603824,,,,,,,,
,,1781121315.615190983,-0.040496255,-0.225080104,0.049490727,,,,,,,,
,,1781121315.631724358,-0.038943328,-0.220024841,0.088535777,,,,,,,,
,,1781121315.648394108,-0.083155002,-0.201233739,0.134818193,,,,,,,,
